Bloc,Rubrique,Nom du champ,Type,Longueur,Obligatoire,Nomenclature,Description,Commentaire
S21.G00.41 - Changements Contrat,S21.G00.41.059,Ancien code régime de base risque accident du travail,Enumeration,3-3,Conditionnel,AncienCodeRegime,"Code indiquant le régime de couverture des risques professionnels auquel est affilié le salarié et permettant de l'indemniser en cas d'accident du travail, d'accident du trajet ou de maladie professionnelle.",ChangementsContrat.CodeRegimeBaseAT
S21.G00.41 - Changements Contrat,S21.G00.41.060,Ancien statut d'emploi du salarié,Enumeration,2-2,Conditionnel,AncientStatutEmploiSalarie,,ChangementsContrat.StatutEmploi
S21.G00.41 - Changements Contrat,S21.G00.41.061,Ancien code emplois multiples,Enumeration,2-2,Conditionnel,Type_ancien_code_emplois_multiples,Cette rubrique précise si le salarié a plusieurs emplois chez un même employeur au cours d'une même période de paie.,ChangementsContrat.AncienCodeEmploisMultiples
S21.G00.41 - Changements Contrat,S21.G00.41.062,Ancien code employeurs multiples,Enumeration,2-2,Conditionnel,Type_ancien_code_emplois_multiples_2,Cette rubrique précise si le salarié a plusieurs employeurs au cours de la même période de paie.,ChangementsContrat.AncienCodeEmployeursMultiples
S21.G00.41 - Changements Contrat,S21.G00.41.063,Ancien grade,Alphanumeric,1-5,Conditionnel,,"Cette donnée véhicule le grade de l’individu.

Pour signaler que dans une DSN précédente la rubrique « Grade - S21.G00.40.079 » avait été déclarée par erreur pour ce contrat (il n’y avait pas lieu de renseigner la rubrique pour ce contrat), cette rubrique doit être renseignée avec le code ‘99999’. Cette valeur a été créée pour permettre d’annuler le grade précédemment déclaré à tort.",ChangementsContrat.AncienGrade
S21.G00.41 - Changements Contrat,S21.G00.41.064,[FP] Ancien indice complément de traitement indiciaire (CTI),Numeric,1-3,Conditionnel,,"Le complément de traitement indiciaire (CTI) est un nombre de points d’indice, se comportant comme un indice majoré, accordé à certains fonctionnaires, en sus du traitement de base. 
Pour signaler que dans une DSN précédente la rubrique « [FP] Indice complément de traitement indiciaire (CTI) - S21.G00.40.080 » avait été déclarée par erreur pour ce contrat (il n’y avait pas lieu de renseigner la rubrique pour ce contrat), cette rubrique doit être renseignée avec le code ‘999’. Cette valeur a été créée pour permettre d’annuler un indice complément de traitement indiciaire précédemment déclaré à tort.",ChangementsContrat.AncienIndiceCTI
S21.G00.41 - Changements Contrat,S21.G00.41.065,Ancien FINESS géographique,Alphanumeric,9-9,Conditionnel,,"Le numéro FINESS géographique assure l’immatriculation des établissements géographiques rattachés à une même entité juridique.
Les modalités de sélection d'un numéro FINESS géographique lorsque plusieurs numéros sont applicables pour un même contrat ont été définies par la DREES par voie de consigne.
Pour signaler que dans une DSN précédente la rubrique « FINESS géographique - S21.G00.40.081 » avait été déclarée par erreur pour ce contrat (il n’y avait pas lieu de renseigner la rubrique pour ce contrat), cette rubrique doit être renseignée avec le code ‘999999999’. Cette valeur a été créée pour permettre d’annuler un numéro FINESS géographique précédemment déclaré à tort.",ChangementsContrat.AncienFinessGeo
S21.G00.45 - Données précédemment déclarées,S21.G00.45.001,SIRET déclarant le contrat précédemment,Alphanumeric,14-14,Conditionnel,,Le numéro SIRET est un identifiant numérique de 14 chiffres composé du SIREN (9 chiffres) et d'un numéro interne de classement de 5 chiffres (NIC) caractérisant l'établissement d'une entreprise en tant qu'unité géographiquement localisée.,DonneesPrecedemmentDeclaree.SiretDeclarantContratPrec
S21.G00.45 - Données précédemment déclarées,S21.G00.45.002,Numéro du contrat déclaré précédemment,Alphanumeric,5-20,Conditionnel,,Le numéro de contrat est un des identifiants du contrat.,DonneesPrecedemmentDeclaree.NumeroContratDeclarePrec
S21.G00.60 - Arrêt de travail,S21.G00.60.001,Motif de l'arrêt,Enumeration,2-2,Oui,Arret_Motif_DSN_phase_1,"Motif permettant d'identifier le type d'arrêt de travail.

La valeur "" 13 - [FP] Congé de longue maladie "" est aussi applicable pour les salariés des IEG.",TravailArret.Motif
S21.G00.60 - Arrêt de travail,S21.G00.60.002,Date du dernier jour travaillé,Date,8-8,Oui,,"Il s'agit de la veille de la date de début de la prescription de l'arrêt de travail, sauf pour les cas suivants :
- arrêt prescrit lors d'un jour travaillé : le dernier jour travaillé correspond alors à la date de l'arrêt ;
- autres cas particuliers précisés par voie de consignes.",TravailArret.DernierJour
S21.G00.60 - Arrêt de travail,S21.G00.60.003,Date de fin prévisionnelle,Date,8-8,Oui,,"Date de fin d'arrêt de travail prévisionnelle prescrit par le médecin.
La rubrique doit être renseignée, même en cas de non reprise du travail.",TravailArret.DateFinPrevisionnelle
S21.G00.60 - Arrêt de travail,S21.G00.60.004,Subrogation,Enumeration,2-2,Oui,N4DS_O_N,"La subrogation de l'employeur est le fait qu’en cas d’absence d'un salarié pour maladie, maternité ou paternité ce dernier peut autoriser l'employeur à percevoir pour son compte les indemnités de maladie versées par l'assurance maladie. En contrepartie, l'employeur doit maintenir le salaire à hauteur des indemnités reçues.
A noter que la subrogation peut également s'appliquer aux indemnités journalières versées dans le cadre d'un temps partiel thérapeutique.",TravailArret.Subrogation
S21.G00.60 - Arrêt de travail,S21.G00.60.005,Date de début de subrogation,Date,8-8,Conditionnel,,Date du début de la période durant laquelle l'employeur demande la subrogation.,TravailArret.SubrogationDateDebut
S21.G00.60 - Arrêt de travail,S21.G00.60.006,Date de fin de subrogation,Date,8-8,Conditionnel,,"Date de fin de la période durant laquelle l'employeur demande la subrogation. 
La durée maximale du maintien est définie par la convention collective ou l'accord de branche du salarié.",TravailArret.SubrogationDateFin
S21.G00.60 - Arrêt de travail,S21.G00.60.007,IBAN,Alphanumeric,15-34,Conditionnel,,"Il s'agit du code IBAN de l'employeur.
Le Code IBAN : International Bank Account Number (ce qui signifie Numéro de Compte Bancaire International), correspond à la représentation internationale du compte bancaire de chaque pays.
L'IBAN permet de trouver l'identité des titulaires de comptes bancaires quelque soit son origine, l'endroit où il est tenu.",TravailArret.Iban
S21.G00.60 - Arrêt de travail,S21.G00.60.008,BIC,Alphanumeric,8-11,Conditionnel,,"Il s'agit du code BIC de l'employeur.
Bank Identifier Code. (code international d'identification de la banque).
C'est l'identifiant international désignant des institutions financières (banques).
Utilisé conjointement avec le code IBAN, le code BIC permet d'effectuer des transferts financiers transfrontaliers.",TravailArret.Bic
S21.G00.60 - Arrêt de travail,S21.G00.60.010,Date de la reprise,Date,8-8,Oui,,"Date à laquelle le salarié est considéré, par le corps médical, apte à exercer à nouveau une activité professionnelle (premier jour travaillé et payé suite à l'arrêt de travail). Il s’agit bien de la date de reprise réelle et non de la date de reprise prévisionnelle à alimenter en rubrique ""Date de fin prévisionnelle - S21.G00.60.003"". Cette rubrique doit être renseignée dans les situations suivantes :
- A l’occasion de l’émission d'un signalement Arrêt de travail ou Reprise suite à arrêt de travail s’il s’agit d’une reprise anticipée uniquement. Si cette date est connue au moment de l’émission du signalement mais qu’elle n’intervient pas avant la date de fin prévisionnelle, elle ne doit pas être valorisée ;
- A l’occasion de l’émission d'un signalement FCTU si cette date est connue au moment de l'émission de ce signalement ;
- Au moment de la constitution de la DSN mensuelle consécutive à la prise de connaissance de la reprise de travail par le gestionnaire de paie.",TravailArret.RepriseDate
S21.G00.60 - Arrêt de travail,S21.G00.60.011,Motif de la reprise,Enumeration,2-2,Oui,Motif_reprise_DSN_phase_1,"Description codifiée de la modalité d'exercice du temps de travail suite à la reprise.
Cette rubrique doit être renseignée si elle est connue au moment de l’émission du signalement ou au moment de la constitution de la DSN mensuelle consécutive à la prise de connaissance de l’arrêt de travail par le gestionnaire de paie.",TravailArret.RepriseMotif
S21.G00.60 - Arrêt de travail,S21.G00.60.012,Date de l'accident ou de la première constatation,Date,8-8,Conditionnel,,"Date de l’accident ou de la première constatation médicale de la maladie professionnelle.
L'accident du travail est défini, qu'elle qu'en soit la cause, comme l'accident survenu par le fait ou à l'occasion du travail de toute personne salariée ou travaillant à quelque titre ou en quelque lieu que ce soit pour un ou plusieurs employeurs ou chefs d'entreprise.",TravailArret.DateAccident
S21.G00.60 - Arrêt de travail,S21.G00.60.600,SIRET Centralisateur,Alphanumeric,14-14,Conditionnel,,SIRET de l'établissement centralisateur pour le paiement des indemnités journalières dans le cadre des entreprises subrogées avec plusieurs établissements employeurs rattachés à un établissement.,TravailArret.SiretCentralisateur
S21.G00.66 - Temps partiel Thérapeutique,S21.G00.66.001,Date de début,Date,8-8,Oui,,Date de début de la période de temps partiel thérapeutique sur le mois déclaré.,TempsPartielTherapeutique.DateDebut
S21.G00.66 - Temps partiel Thérapeutique,S21.G00.66.002,Date de fin,Date,8-8,Oui,,Date de fin de la période de temps partiel thérapeutique sur le mois déclaré.,TempsPartielTherapeutique.DateFin
S21.G00.66 - Temps partiel Thérapeutique,S21.G00.66.003,Montant,Numeric,4-12,Oui,,"Il s'agit du montant de la perte de salaire associée au temps partiel thérapeutique. Ce montant peut être positif, négatif ou nul.",TempsPartielTherapeutique.Montant
S21.G00.62 - Fin du contrat,S21.G00.62.001,Date de fin du contrat,Date,8-8,Oui,,"Date à laquelle les relations de travail entre l'employeur et le salarié prennent fin. Il s'agit du dernier jour d'appartenance à l'entreprise.
Pour les Entreprises de Travail Temporaire et les contrats de mission, car les CDI intérimaires ne rentrent pas dans cette consigne, seuls sont concernés les salariés en mission d'intérim.",ContratFin.DateFin
S21.G00.62 - Fin du contrat,S21.G00.62.002,Motif de la rupture du contrat,Enumeration,3-3,Oui,RAC_Rupture_Motif_DSN_phase_1,"Motif qualifiant la rupture du contrat de travail, selon sa nature.
Attention : 
- Le motif 116  permet la déclaration d'une fin de période de ligne de service en DSN. Cette valeur est spécifique aux salariés affiliés à l'ENIM. 
- Les motifs 116, 998 et 999 ne donnent pas lieu à transmission de données à Pôle emploi et ne donnent pas lieu à reconstitution d’Attestation Employeur. 
- Le motif 100 permet de déclarer la mutation au sein du même groupe ou extérieure au groupe pour les secteurs d’activité autorisés (gardiennage, ménage, restauration, etc.) sans rupture du contrat. Ce motif ne doit pas être utilisé pour un signalement fin du contrat de travail unique.
- Le motif 099 permet d'annuler la déclaration à tort d'une fin de contrat, et non de corriger une fin de contrat.",ContratFin.Motif
S21.G00.62 - Fin du contrat,S21.G00.62.003,Date de notification de la rupture de contrat,Date,8-8,Conditionnel,,"Il peut s'agir de :
Date d'envoi en recommandé avec accusé de réception de la lettre de licenciement, 
Date d'envoi ou de remise en mains propres de la lettre de démission par le salarié, 
Date de notification de la fin de la période d'essai par l'employeur ou le salarié.

La date de notification de la rupture de contrat doit également être renseignée pour les démissions. En cas de remise en main propre du courrier de démission, la date de début de préavis sera le même jour que la notification (et non le lendemain).
",ContratFin.DateNotificationRupture
S21.G00.62 - Fin du contrat,S21.G00.62.004,Date de signature de la convention de rupture,Date,8-8,Conditionnel,,"Date de signature par l'employeur et le salarié de la convention de rupture, qui après un délai de rétractation de 15 jours, fait démarrer la demande d'homologation auprès de la Direccte.",ContratFin.DateConvention
S21.G00.62 - Fin du contrat,S21.G00.62.005,Date d'engagement de la procédure de licenciement,Date,8-8,Conditionnel,,"Date de l'entretien préalable au licenciement ou date de la première réunion du comité d'entreprise ou des délégués du personnel en cas de licenciement économique de 10 salariés et plus dans une période de 30 jours.
Conditionné aux motifs de fin de contrat de travail : licenciement individuel, économique ou inhérent à la personne du salarié, licenciement collectif pour motif économique.",ContratFin.DateLicenciement
S21.G00.62 - Fin du contrat,S21.G00.62.006,Dernier jour travaillé et payé au salaire habituel,Date,8-8,Oui,,Dernier jour travaillé payé selon le salaire défini par le contrat de travail ou la convention collective.,ContratFin.Djtp
S21.G00.62 - Fin du contrat,S21.G00.62.008,Transaction en cours,Enumeration,2-2,Oui,N4DS_O_N,Contrat par lequel les parties terminent une contestation née ou préviennent une contestation à naître.,ContratFin.Transaction
S21.G00.62 - Fin du contrat,S21.G00.62.011,Nombre de mois de préavis utilisés dans le cadre du calcul CSP,Numeric,4-4,Conditionnel,,Nombre de mois correspondant au préavis légalement dû et pour laquelle une indemnité aurait été versée.,ContratFin.DureePreavis
S21.G00.62 - Fin du contrat,S21.G00.62.013,Montant de l'indemnité de préavis qui aurait été versée,Numeric,4-12,Conditionnel,,Somme correspondant à l'indemnité de préavis qui aurait été versée.,ContratFin.MontantIndemnite
S21.G00.62 - Fin du contrat,S21.G00.62.014,Statut particulier du salarié,Enumeration,2-2,Conditionnel,RAC_StatutParticulier_DSN_phase_1,"Correspond au statut du salarié, au sein d'une entreprise ou d'une association.",ContratFin.StatutParticulier
S21.G00.62 - Fin du contrat,S21.G00.62.016,Maintien de l’affiliation du salarié au contrat collectif,Enumeration,2-2,Conditionnel,DSN_Remuneration_Pourboire,"Cette rubrique est utilisée par les organismes complémentaires pour identifier un salarié bénéficiant d'une continuité de son affiliation dans le contrat collectif. Elle est conditionnelle et doit seulement être renseignée dans certains cas particuliers : fin de contrat de travail en fin de mois avec nouveau contrat en continuité sur le mois suivant, changement de statut catégoriel en fin de mois, etc. La liste complète des cas d’utilisation de cette rubrique est disponible sur le site net-entreprises.fr.",ContratFin.MaintienAffiliationCC
S21.G00.62 - Fin du contrat,S21.G00.62.017,Modalité de déclaration de la fin du contrat d'usage,Enumeration,2-2,Conditionnel,Modatite_FC,"Cette rubrique vise à qualifier la modalité de déclaration de la fin du contrat d'usage. Elle permet d'exprimer le souhait d'utiliser ou non le circuit dérogatoire lors de la fin d'un contrat d'usage.

Pour le déclarant, la dérogation consiste à pouvoir déclarer à fin de mois les fins de contrat d'usage sans application de pénalités.
Le circuit dérogatoire ne peut être utilisé que pour un contrat d'usage qui n'a pas encore fait l'objet d'une déclaration dans une précédente DSN mensuelle validée.",ContratFin.ModeFinCDDU
S21.G00.62 - Fin du contrat,S21.G00.62.018,Nombre de mois de préavis utilisés dans le cadre du calcul PAP,Numeric,4-5,Conditionnel,,Nombre de mois correspondant au préavis légalement dû et pour lequel une indemnité aurait été versée.,ContratFin.NombreMoisPréavisPAP
S21.G00.62 - Fin du contrat,S21.G00.62.019,Solde de congés acquis et non pris (ENIM),Numeric,4-6,Conditionnel,,"Cette rubrique est réservée aux individus affiliés à l'ENIM. 
Elle permet d'identifier le nombre de jours de congés acquis et utilisés dans les règles de calcul des retraites des individus affiliés à l'ENIM.
Ce nombre de jours est pris en compte dans la détermination du nombre d’annuités retenues pour l’ouverture du droit et le calcul du montant de la pension.",ContratFin.SoldeCongésAcquisNonPrisENIM
S21.G00.62 - Fin du contrat,S21.G00.62.020,Mois de la DSN mensuelle portant les derniers éléments déclarés dans le FCTU,Date,8-8,Oui,,"Date à laquelle le solde de tout compte sera porté en paie. Cette date est automatiquement déterminée par le logiciel de paie.
Cette date doit être renseignée au premier jour du mois (sous la forme 01mmaaaa).",ContratFin.DateMoisSoldeToutCompte
S21.G00.62 - Fin du contrat,S21.G00.62.021,Refus de la proposition d'un CDI suite à CDD ou contrat de mission,Enumeration,2-2,Conditionnel,DSN_Refus_CDI,"Cette rubrique permet d'indiquer à l'Assurance Chômage que le salarié a refusé la proposition d'un CDI équivalent au CDD ou, suite à proposition de l’entreprise utilisatrice, au contrat de travail temporaire (contrat de mission) qui vient de s'achever.",ContratFin.RefusPropositionCDIsuiteCDDouMission
S21.G00.63 - Préavis de fin de contrat,S21.G00.63.001,Type réalisation et paiement du préavis,Enumeration,2-2,Oui,RAC_Preavis,"Indique ici si le préavis est : effectué, non effectué, payé, non payé.",Preavis.Type
S21.G00.63 - Préavis de fin de contrat,S21.G00.63.002,Date de début de préavis,Date,8-8,Conditionnel,,"En cas de licenciement elle correspond à la date de présentation de la lettre recommandée. En cas de démission, elle correspond en principe à la date où l'employeur est présumé en prendre connaissance.",Preavis.DateDebut
S21.G00.63 - Préavis de fin de contrat,S21.G00.63.003,Date de fin de préavis,Date,8-8,Conditionnel,,"Dernier jour du contrat de travail en cas de préavis, effectué ou non.",Preavis.DateFin
S21.G00.65 - Autre suspension de l'exécution du contrat,S21.G00.65.001,Motif de suspension,Enumeration,3-3,Oui,Motif_suspension,"Il s'agit d'une raison pour laquelle le contrat est suspendu.
La transmission d'une annulation doit s'accompagner de la « date de début de la suspension » à annuler et de la « date de la fin de la suspension » à annuler.

Les valeurs suivantes sont aussi applicables pour les salariés des IEG : « 656 - [FP] Congé pour cessation anticipée d’activité du fait d’une maladie professionnelle provoquée par l’amiante », « 677 - Disponibilité pour élever un enfant âgé de moins de 12 ans (de moins de 8 ans pour la RATP) ».",ContratSuspensionAutre.Motif
S21.G00.65 - Autre suspension de l'exécution du contrat,S21.G00.65.002,Date de début de la suspension,Date,8-8,Oui,,Il s'agit du premier jour de la suspension de l'exécution du contrat.,ContratSuspensionAutre.DateDebut
S21.G00.65 - Autre suspension de l'exécution du contrat,S21.G00.65.003,Date de fin de la suspension,Date,8-8,Conditionnel,,"Il s'agit de la date de fin prévisionnelle de la suspension de l'exécution du contrat.
Dans le cas d'une suspension pour cause de chômage intempéries  (S21.G00.65.001 = '507') ou de chômage sans rupture du contrat de travail (S21.G00.65.001 = '602'), il s'agit de la date de fin réelle de la suspension de l'exécution du contrat.",ContratSuspensionAutre.DateFin
S21.G00.65 - Autre suspension de l'exécution du contrat,S21.G00.65.004,[FP] Position de détachement,ExternalReferential,3-3,Conditionnel,,Situation du fonctionnaire civil ou militaire lorsqu'il est en détachement.,ContratSuspensionAutre.FPPositionDétachement
S21.G00.65 - Autre suspension de l'exécution du contrat,S21.G00.65.005,Nombre de jours ouvrés de suspension,Numeric,4-5,Conditionnel,,Nombre de jours ouvrés de congé proche aidant du mois principal déclaré. Cette rubrique est seulement à renseigner pour les cas de congé de proche aidant ou de congé de présence parentale. Ces suspensions peuvent être fractionnées en demi-journées.,ContratSuspensionAutre.NombreJourOuvrésSuspension
S21.G00.70 - Affiliation Prévoyance,S21.G00.70.004,Code option retenue par le salarié,Alphanumeric,1-30,Conditionnel,,"Option définie dans le contrat, que le salarié peut choisir individuellement. Les valeurs de code sont fournies par l'organisme de prévoyance et sont à renseigner seulement sur sa demande.",PrevoyanceAffiliation.Option
S21.G00.70 - Affiliation Prévoyance,S21.G00.70.005,Code population de rattachement,Alphanumeric,1-30,Conditionnel,,Population définie dans le contrat auquel le salarié est rattaché. Les valeurs de code sont fournies par l'organisme de prévoyance et sont à renseigner seulement sur sa demande.,PrevoyanceAffiliation.Population
S21.G00.70 - Affiliation Prévoyance,S21.G00.70.007,Nombre d’enfants à charge,Numeric,1-2,Conditionnel,,"Il s'agit du nombre d'enfants à charge enregistré dans le logiciel de paie / ressources humaines.
",PrevoyanceAffiliation.NombreEnfantsCharge
S21.G00.70 - Affiliation Prévoyance,S21.G00.70.008,Nombre d'ayants-droit conjoint / concubin,Numeric,1-2,Conditionnel,,Nombre d'ayants droit conjoint / concubin attachés au salarié pour le contrat mentionné. Cette donnée doit être renseignée si elle intervient dans le calcul de la cotisation du contrat Prévoyance concerné.,PrevoyanceAffiliation.NombreAyantsDroitAdultes
S21.G00.70 - Affiliation Prévoyance,S21.G00.70.009,Nombre d'ayants-droit attachés au salarié pour le contrat Prévoyance mentionné,Numeric,1-2,Conditionnel,,"Nombre d'ayants-droit attachés au salarié pour le contrat Prévoyance mentionné. Cette donnée doit être renseignée si elle intervient dans le calcul de la cotisation du contrat Prévoyance concerné.
Le nombre d’ayants-droit renseigné dans cette rubrique ne correspond pas nécessairement au total des autres compteurs (« Nombre d’ayants-droit conjoint / concubin - S21.G00.70.008 », « Nombre d'ayants-droit autres (ascendants, collatéraux...) - S21.G00.70.010 » et « Nombre d'enfants ayants-droit - S21.G00.70.011 ») car selon la typologie du contrat Prévoyance, la déclaration de l’ensemble de ces rubriques n’est pas toujours attendue. En revanche, si ces rubriques sont toutes les trois valorisées, alors le nombre d’ayants-droit déclaré à la rubrique « Nombre d'ayants-droit attachés au salarié pour le contrat Prévoyance mentionné - S21.G00.70.009 » doit toujours correspondre à la somme des trois autres compteurs.",PrevoyanceAffiliation.NombreAyantsDroit
S21.G00.70 - Affiliation Prévoyance,S21.G00.70.010,"Nombre d'ayants-droit autres (ascendants, collatéraux...)",Numeric,1-2,Conditionnel,,"Nombre d'ayants droit autres (ascendants, collatéraux) attachés au salarié pour le contrat mentionnés. Cette donnée doit être renseignée si elle intervient dans le calcul de la cotisation du contrat Prévoyance concerné.",PrevoyanceAffiliation.NombreAyantsDroitAutres
S21.G00.70 - Affiliation Prévoyance,S21.G00.70.011,Nombre d'enfants ayants-droit,Numeric,1-2,Conditionnel,,Nombre d'enfants ayants droit attachés au salarié pour le contrat prévoyance mentionné. Cette donnée doit être renseignée si elle intervient dans le calcul de la cotisation du contrat Prévoyance concerné.,PrevoyanceAffiliation.NombreAyantsDroitEnfants
S21.G00.70 - Affiliation Prévoyance,S21.G00.70.012,Identifiant technique Affiliation,Alphanumeric,1-3,Oui,,"Identifiant de l'affiliation au contrat de Prévoyance. Cet identifiant technique est interne au message et doit être unique pour chacune des affiliations du salarié concerné. 
Dans une déclaration mensuelle, il permet de faire le lien avec la ou les bases assujetties déclarées, via la rubrique ""Identifiant technique Affiliation - S21.G00.78.005"".",PrevoyanceAffiliation.IdentifiantTechniqueAffiliation
S21.G00.70 - Affiliation Prévoyance,S21.G00.70.013,Identifiant technique Adhésion,Alphanumeric,1-3,Oui,,"Identifiant de l'adhésion au contrat de Prévoyance, Santé, Retraite supplémentaire. Cet identifiant doit correspondre à la valeur de la rubrique ""S21.G00.15.005"" déclarée dans un bloc ""Adhésion Prévoyance, Santé, Retraite supplémentaire"" S21.G00.15. Il permet de faire le lien avec les blocs décrivant les données de gestion du contrat Prévoyance, Santé, Retraite supplémentaire dans le message.",PrevoyanceAffiliation.IdentifiantTechniqueAdhesion
S21.G00.70 - Affiliation Prévoyance,S21.G00.70.014,Date de début de l’affiliation,Date,8-8,Conditionnel,,"La rubrique ""Date de début de l'affiliation"" est conditionnelle et doit seulement être renseignée dans certains cas très précis, lorsque la date de début d'affiliation au contrat OC ne correspond pas à la date de début du contrat de travail : nouvelle affiliation liée à un changement d'établissement ou à un changement de statut catégoriel, fin d'une dispense d'affiliation, etc. La liste complète des cas d’utilisation de cette rubrique est disponible sur le site net-entreprises.fr.",PrevoyanceAffiliation.DateDebut
S21.G00.70 - Affiliation Prévoyance,S21.G00.70.015,Date de fin de l’affiliation,Date,8-8,Conditionnel,,"La rubrique ""Date de fin de l'affiliation"" est conditionnelle et doit seulement être renseignée dans certains cas très précis, lorsque la demande de radiation du contrat OC ne découle pas d'une fin du contrat de travail, mais d'un événement tel qu'un changement d'établissement, un changement de statut catégoriel, une dispense d'afffiliation, etc. La liste complète des cas d’utilisation de cette rubrique est disponible sur le site net-entreprises.fr.",PrevoyanceAffiliation.DateFin
S21.G00.73 - Ayant-droit,S21.G00.73.001,Régime local Alsace-Moselle,Enumeration,2-2,Conditionnel,DSN_Alsace_Moselle,Code indiquant si l'ayant-droit bénéficie du régime local Alsace Moselle en complément du régime de base.,AyantDroit.RegimeAlsaceMoselle
S21.G00.73 - Ayant-droit,S21.G00.73.002,Code option,Alphanumeric,1-30,Conditionnel,,"Option définie dans le contrat de Prévoyance, choisie pour l'ayant-droit et pouvant être différente de celle retenue pour le salarié. Les valeurs de ce code sont fournies par l'organisme de prévoyance et sont à renseigner sur sa demande.",AyantDroit.CodeOption
S21.G00.73 - Ayant-droit,S21.G00.73.003,Type,Enumeration,2-2,Oui,DSN_Ayant_Droit_Type,"Le type qualifie la nature de l'ayant-droit (adulte, enfant ou autre).",AyantDroit.Type
S21.G00.73 - Ayant-droit,S21.G00.73.004,Date de début de rattachement à l'ouvrant-droit,Date,8-8,Conditionnel,,Date de début de rattachement de l'ayant-droit au salarié dans le cadre du contrat de Prévoyance concerné.,AyantDroit.DateDebutRattachementOuvrantDroit
S21.G00.73 - Ayant-droit,S21.G00.73.005,Date de naissance,Date,8-8,Oui,,Date de naissance de l'ayant droit au format JJMMAAAA avec AAAA = 19nn ou 20nn.,AyantDroit.DateNaissance
S21.G00.73 - Ayant-droit,S21.G00.73.006,Nom de famille,Alphanumeric,1-80,Oui,,"Nom de famille de l'ayant-droit, exprimé selon les mêmes contraintes que la donnée S21.G00.30.002 (Nom de famille) du sous groupe ""Individu"".",AyantDroit.NomFamille
S21.G00.73 - Ayant-droit,S21.G00.73.007,Numéro d'inscription au répertoire,Alphanumeric,13-13,Conditionnel,,"NIR (numéro d'inscription au répertoire des personnes physiques de l'INSEE) de l'ayant droit.
Cette rubrique n'est pas exigée pour des enfants ne disposant pas d'un NIR propre.
Le Nir doit avoir la forme SAAMMDDCCCNNN avec :
S = sexe de la personne physique doit être égal à 1 ou 2
AA = année de naissance de la personne physique doit être comprise entre 00 et 99
MM = mois de naissance de la personne physique doit être compris entre 01 et 12 ou entre 30 et 42 ou entre 50 et 99 ou égal à 20
DD = département de naissance de la personne physique doit être compris entre 01 et 99 ou être égal à 2A ou 2B
CCC = commune de naissance de la personne physique doit être comprise entre 001 et 999
NNN = numéro d'inscription la personne physique au registre d'état civil doit être compris entre 001 et 999
En l'absence de NIR ou du NIR complet (13 caractères) il est obligatoire de remplir la rubrique en indiquant le code sexe 1 ou 2 puis en complétant les 12 autres caractères par des 9.
Ne pas utiliser les numéros provisoires reconnaissables par leur premier caractère égal à 7 ou 8.",AyantDroit.Nir
S21.G00.73 - Ayant-droit,S21.G00.73.008,NIR ouvrant-droit régime de base maladie,Alphanumeric,13-13,Conditionnel,,"NIR auquel l'ayant droit est rattaché, à renseigner seulement si ce NIR est différent de celui du salarié renseigné en S21.G00.30.001.
Le Nir doit avoir la forme SAAMMDDCCCNNN avec :
S = sexe de la personne physique doit être égal à 1 ou 2
AA = année de naissance de la personne physique doit être comprise entre 00 et 99
MM = mois de naissance de la personne physique doit être compris entre 01 et 12 ou entre 30 et 42 ou entre 50 et 99 ou égal à 20
DD = département de naissance de la personne physique doit être compris entre 01 et 99 ou être égal à 2A ou 2B
CCC = commune de naissance de la personne physique doit être comprise entre 001 et 999
NNN = numéro d'inscription la personne physique au registre d'état civil doit être compris entre 001 et 999
En l'absence de NIR ou du NIR complet (13 caractères) il est obligatoire de remplir la rubrique en indiquant le code sexe 1 ou 2 puis en complétant les 12 autres caractères par des 9.
Ne pas utiliser les numéros provisoires reconnaissables par leur premier caractère égal à 7 ou 8.",AyantDroit.NirOuvrantDroitRegimeBaseMaladie
S21.G00.73 - Ayant-droit,S21.G00.73.009,Prénoms,Alphanumeric,1-80,Oui,,"Prénoms de l'ayant-droit, exprimés selon les mêmes contraintes que pour la  donnée  S21.G00.30.004 (Prénoms) du sous groupe""Individu"".",AyantDroit.Prenoms
S21.G00.73 - Ayant-droit,S21.G00.73.010,Code organisme d'affiliation à l'assurance maladie,Alphanumeric,1-30,Conditionnel,,Code de la Caisse Primaire d'Assurance Maladie pour l'ayant-droit concerné (ou autre code équivalent si l'ayant-droit ne relève pas du régime général).,AyantDroit.CodeOrganismeAffiliationAssuranceMaladie
S21.G00.73 - Ayant-droit,S21.G00.73.011,Date de fin de rattachement à l'ouvrant-droit,Date,8-8,Conditionnel,,Date de fin du rattachement de l'ayant-droit au salarié dans le cadre du contrat de Prévoyance concerné.,AyantDroit.DateFinRattachementOuvrantDroit
S21.G00.71 - Retraite complémentaire,S21.G00.71.002,Code régime Retraite Complémentaire,Enumeration,4-8,Oui,DSN_Code_Reg_Retraite_Comp,Indiquer le code de l’organisme ou le code du régime de retraite complémentaire ou du régime spécial auquel est affilié l'individu. ,RetraiteComplementaire.CodeRetraiteComplementaire
