code;libellé;25/09/2024
NTX5;Agent sur contrat du parcours contractualisé d'accompagnement vers l'emploi et l'autonomie (PACEA) (technique)
SAD1;Administrateur stagiaire
SAJ1;Adjoint administratif stagiaire
SAJ2;STAG. / Adjoint administratif de 1ère classe stagiaire
SAJ3;Adjoint administratif principal de 2ème classe stagiaire
SAR1;Rédacteur stagiaire
SAR2;Rédacteur principal de 2ème classe stagiaire
SAT1;Attaché stagiaire
SCA1;Attaché de conservation du patrimoine stagiaire
SCB1;Bibliothécaire stagiaire
SCD1;Directeur d'établissement d'enseignement artistique de 2ème catégorie stagiaire
SCD2;Directeur d'établissement d'enseignement artistique de 1ère catégorie stagiaire
SCG1;Assistant de conservation stagiaire
SCG2;Assistant de conservation principal de 2ème classe stagiaire
SCH1;Conservateur stagiaire
SCJ1;Adjoint territorial du patrimoine stagiaire
SCJ2;STAG. / Adjoint territorial du patrimoine de 1ère classe stagiaire
SCJ3;Adjoint territorial du patrimoine principal de 2ème classe stagiaire
SCM1;Conservateur stagiaire
SCP1;Professeur d'enseignement artistique stagiaire
SCS1;Assistant d'enseignement artistique stagiaire
SCS2;Assistant d'enseignement artistique principal de 2ème classe stagiaire
SCS3;STAG. / Assistant d'enseignement artistique principal de 1ere classe stagiaire
SEB1;Biologiste, vétérinaire et pharmacien de classe normale stagiaire
SEM1;Masseur-kinésithérapeute et orthophoniste stagiaire
SEP1;Pédicures-podologues, ergothérapeutes, psychomotriciens, orthoptistes, technicien de laboratoire médical, manipulateurs d'électroradiologie médicale, préparateurs en pharmacie hospitalière et diététiciens stagiaire
SET1;Technicien paramédical de classe normale stagiaire
SMA1;STAG. / Educateur de jeunes enfants stagiaire
SMB1;Moniteur-Educateur et intervenant familial stagiaire
SMD1;STAG. / Agent spécialisé de 1ère classe des écoles maternelles stagiaire
SMD2;Agent spécialisé principal de 2ème classe des écoles maternelles stagiaire
SME1;Educateur de jeunes enfants stagiaire
SMH1;STAG. / Assistant socio-éducatif stagiaire
SMM1;Conseiller socio-éducatif stagiaire
SMP1;Agent social stagiaire
SMP2;STAG. / Agent social de 1ère classe stagiaire
SMP3;Agent social principal de 2ème classe stagiaire
SMT1;STAG. / Assistant socio-éducatif de 2nde classe stagiaire
SMT2;Assistant socio-éducatif stagiaire
SNJ1;Adjoint territorial d'animation stagiaire
SNJ2;STAG. / Adjoint territorial d'animation de 1ère classe stagiaire
SNJ3;Adjoint territorial d'animation principal de 2ème classe stagiaire
SNN1;Animateur stagiaire
SNN2;Animateur principal de 2ème classe stagiaire
SOA1;STAG. / Cadre de santé stagiaire
SOB1;Infirmier en soins généraux stagiaire
SOC1;STAG. / Puéricultrice cadre de santé stagiaire
SOD1;Médecin de 2ème classe stagiaire
SOF1;Sage-femme de classe normale stagiaire
SOG1;Cadre de santé stagiaire
SOH1;Psychologue de classe normale stagiaire
SOJ1;STAG. / Auxiliaire de puériculture de 1ère classe stagiaire
SOJ2;STAG. / Auxiliaire de puériculture principal de 2ème classe stagiaire
SOK1;STAG. / Auxiliaire de soins de 1ère classe stagiaire
SOK2;Auxiliaire de soins principal de 2ème classe stagiaire
SON1;STAG. / Infirmier stagiaire
SOP1;STAG. / Puéricultrice stagiaire
SOR1;Auxiliaire de puériculture de classe normale stagiaire
SOS1;Aide-soignant de classe normale stagiaire
SOU1;Puéricultrice stagiaire
SPC1;Chef de service de police municipale stagiaire
SPG1;Gardien-brigadier stagiaire
SPH1;STAG. / Garde-champêtre principal stagiaire
SPH2;Garde-champêtre chef stagiaire
SPU1;Directeur de police municipal stagiaire
SRA1;STAG. / Infirmier d'encadrement de sapeurs pompiers professionnels stagiaire
SRC1;Capitaine stagiaire
SRD1;STAG. / Médecin et pharmacien stagiaire
SRD2;Médecin et pharmacien de classe normale stagiaire
SRF1;Cadre de santé des SPP stagiaire
SRG1;Infirmiers stagiaire
SRH1;Colonel stagiaire
SRL1;Lieutenant de 2ème classe stagiaire
SRL2;Lieutenant de 1ère classe stagiaire
SRN1;STAG. / Infirmier stagiaire
SRS1;Sergent stagiaire
SRU1;STAG. / Sapeur de 2e classe stagiaire
SRU2;Sapeur stagiaire
SRU3;Caporal stagiaire
SSC1;Conseiller stagiaire
SSE1;Educateur stagiaire
SSE2;Educateur principal de 2ème classe stagiaire
SSP1;STAG. / Opérateur stagiaire
SSP3;Opérateur qualifié stagiaire
STA1;STAG. / Adjoint technique de 2ème classe stagiaire
STA2;Adjoint technique stagiaire
STA3;Adjoint technique principal de 2ème classe stagiaire
STG1;STAG. / Ingénieur stagiaire
STG2;STAG. / Ingénieur en chef stagiaire
STH1;Adjoint technique stagiaire
STH2;STAG. / Adjoint technique de 1ère classe stagiaire
STH3;Adjoint technique principal de 2ème classe stagiaire
STM1;Agent de maîtrise stagiaire
STN1;Ingénieur stagiaire
STP1;Ingénieur stagiaire
STT1;Technicien stagiaire
STT2;Technicien principal de 2ème classe stagiaire
TAD1;Administrateur
TAD2;Administrateur hors classe
TAD3;Administrateur général
TAJ1;Adjoint administratif
TAJ2;F.P.T. / Adjoint administratif de 1ère classe
TAJ3;Adjoint administratif principal de 2ème classe
TAJ4;Adjoint administratif principal de 1ère classe
TAR1;Rédacteur
TAR2;Rédacteur principal de 2ème classe
TAR3;Rédacteur principal de 1ère classe
TAS1;Secrétaire de mairie
TAT1;Attaché
TAT2;Attaché principal
TAT3;Directeur territorial
TAT4;Attaché hors classe
TAU1;Directeur général adjoint des services ou directeur adjoint
TAU2;Directeur général des services ou directeur
TAX1;Titulaire sur emploi spécifique, catégorie C
TAX2;Titulaire sur emploi spécifique, catégorie B
TAX3;Titulaire sur emploi spécifique, catégorie A
TAX4;Titulaire sur emploi spécifique, catégorie A+
TAY1;Titulaire à temps non complet de moins de 17h30, catégorie C
TAY2;Titulaire à temps non complet de moins de 17h30, catégorie B
TAY3;Titulaire à temps non complet de moins de 17h30, catégorie A
TAY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
TCA1;Attaché de conservation du patrimoine
TCA2;Attaché principal de conservation du patrimoine
TCB1;Bibliothécaire
TCB2;Bibliothécaire principal
TCD1;Directeur d'établissement d'enseignement artistique de 2ème catégorie
TCD2;Directeur d'établissement d'enseignement artistique de 1ère catégorie
TCG1;Assistant de conservation
TCG2;Assistant de conservation principal de 2ème classe
TCG3;Assistant de conservation principal de 1ère classe
TCH1;Conservateur
TCH2;Conservateur en chef
TCJ1;Adjoint territorial du patrimoine
TCJ2;F.P.T. / Adjoint territorial du patrimoine de 1ère classe
TCJ3;Adjoint territorial du patrimoine principal de 2ème classe
TCJ4;Adjoint territorial du patrimoine principal de 1ère classe
TCM2;Conservateur
TCM3;Conservateur en chef
TCP1;Professeur d'enseignement artistique de classe normale
TCP2;Professeur d'enseignement artistique hors classe
TCS1;Assistant d'enseignement artistique
TCS2;Assistant d'enseignement artistique principal de 2ème classe
TCS3;Assistant d'enseignement artistique principal de 1ère classe
TCX1;Titulaire sur emploi spécifique, catégorie C
TCX2;Titulaire sur emploi spécifique, catégorie B
TCX3;Titulaire sur emploi spécifique, catégorie A
TCX4;Titulaire sur emploi spécifique, catégorie A+
TCY1;Titulaire à temps non complet de moins de 17h30, catégorie C
TCY2;Titulaire à temps non complet de moins de 17h30, catégorie B
TCY3;Titulaire à temps non complet de moins de 17h30, catégorie A
TCY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
TEB1;Biologiste, vétérinaire et pharmacien de classe normale
TEB2;Biologiste, vétérinaire et pharmacien hors classe
TEB3;Biologiste, vétérinaire et pharmacien de classe exceptionnelle
TEM1;Masseur-kinésithérapeute et orthophoniste
TEM2;F.P.T. / Masseur-kinésithérapeute, psychomotricien et orthophoniste de classe supérieure
TEM3;Masseur-kinésithérapeute et orthophoniste hors classe
TEP1;Pédicures-podologues, ergothérapeutes, psychomotriciens, orthoptistes, technicien de laboratoire médical, manipulateurs d'électroradiologie médicale, préparateurs en pharmacie hospitalière et diététiciens
TEP2;F.P.T. / Pédicure-podologue, ergothérapeute, orthophoniste et manipulateur d'électroradiologie médicale de classe supérieure
TEP3;Pédicures-podologues, ergothérapeutes, psychomotriciens, orthoptistes, technicien de laboratoire médical, manipulateurs d'électroradiologie médicale, préparateurs en pharmacie hospitalière et diététiciens hors classe
TET1;Technicien paramédical de classe normale
TET2;Technicien paramédical de classe supérieure
TEX1;Titulaire sur emploi spécifique, catégorie C
TEX2;Titulaire sur emploi spécifique, catégorie B
TEX3;Titulaire sur emploi spécifique, catégorie A
TEX4;Titulaire sur emploi spécifique, catégorie A+
TEY1;Titulaire à temps non complet de moins de 17h30, catégorie C
TEY2;Titulaire à temps non complet de moins de 17h30, catégorie B
TEY3;Titulaire à temps non complet de moins de 17h30, catégorie A
TEY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
THA1;F.P.T. / Agent territorial de Mayotte
THC1;Collaborateur de cabinet
THO1;F.P.T. / Ouvrier territorial de Mayotte
THW1;Fonctionnaires ou non titulaires non classables dans une filière
TMA1;F.P.T. / Educateur de jeunes enfants
TMA2;F.P.T. / Educateur principal de jeunes enfants
TMB1;Moniteur-Educateur et intervenant familial
TMB2;Moniteur-Educateur et intervenant familial principal
TMD1;F.P.T. / Agent spécialisé de 1ère classe des écoles maternelles
TMD2;Agent spécialisé principal de 2ème classe des écoles maternelles
TMD3;Agent spécialisé principal de 1ère classe des écoles maternelles
TME1;Educateur de jeunes enfants
TME2;F.P.T. / Educateur de jeunes enfants de 1ère classe
TME3;Educateur de jeunes enfants de classe exceptionnelle
TMH1;F.P.T. / Assistant socio-éducatif
TMH2;F.P.T. / Assistant socio-éducatif principal
TMM1;Conseiller socio-éducatif
TMM2;Conseiller supérieur socio-éducatif
TMM3;Conseiller hors classe socio-éducatif
TMP1;Agent social
TMP2;F.P.T. / Agent social de 1ère classe
TMP3;Agent social principal de 2ème classe
TMP4;Agent social principal de 1ère classe
TMT1;F.P.T. / Assistant socio-éducatif de 2nde classe
TMT2;Assistant socio-éducatif
TMT3;Assistant socio-éducatif de classe exceptionnelle
TMX1;Titulaire sur emploi spécifique, catégorie C
TMX2;Titulaire sur emploi spécifique, catégorie B
TMX3;Titulaire sur emploi spécifique, catégorie A
TMX4;Titulaire sur emploi spécifique, catégorie A+
TMY1;Titulaire à temps non complet de moins de 17h30, catégorie C
TMY2;Titulaire à temps non complet de moins de 17h30, catégorie B
TMY3;Titulaire à temps non complet de moins de 17h30, catégorie A
TMY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
TNJ1;Adjoint territorial d'animation
TNJ2;F.P.T. / Adjoint territorial d'animation de 1ère classe
TNJ3;Adjoint territorial d'animation principal de 2ème classe
TNJ4;Adjoint territorial d'animation principal de 1ère classe
TNN1;Animateur
TNN2;Animateur principal de 2ème classe
TNN3;Animateur principal de 1ère classe
TNX1;Titulaire sur emploi spécifique, catégorie C
TNX2;Titulaire sur emploi spécifique, catégorie B
TNX3;Titulaire sur emploi spécifique, catégorie A
TNX4;Titulaire sur emploi spécifique, catégorie A+
TNY1;Titulaire à temps non complet de moins de 17h30, catégorie C
TNY2;Titulaire à temps non complet de moins de 17h30, catégorie B
TNY3;Titulaire à temps non complet de moins de 17h30, catégorie A
TNY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
TOA1;Cadre de santé
TOB1;Infirmier en soins généraux
TOB2;F.P.T. / Infirmier en soins généraux de classe supérieure
TOB3;Infirmier en soins généraux hors classe
TOC1;Puéricultrice cadre de santé
TOC2;Puéricultrice cadre supérieur de santé
TOD1;Médecin de 2ème classe
TOD2;Médecin de 1ère classe
TOD3;Médecin hors classe
TOF1;Sage-femme de classe normale
TOF2;F.P.T. / Sage-femme de classe supérieure
TOF3;Sage-femme hors classe
TOG1;Cadre de santé
TOG2;F.P.T. / Cadre de santé de 1ère classe
TOG3;Cadre supérieur de santé
TOH1;Psychologue de classe normale
TOH2;Psychologue hors classe
TOJ1;F.P.T. / Auxiliaire de puériculture de 1ère classe
TOJ2;F.P.T. / Auxiliaire de puériculture principal de 2ème classe
TOJ3;F.P.T. / Auxiliaire de puériculture principal de 1ère classe
TOK1;F.P.T. / Auxiliaire de soins de 1ère classe
TOK2;Auxiliaire de soins principal de 2ème classe
TOK3;Auxiliaire de soins principal de 1ère classe
TON1;Infirmier de classe normale
TON2;Infirmier de classe supérieure
TOP1;Puéricultrice de classe normale
TOP2;Puéricultrice de classe supérieur
TOR1;Auxiliaire de puériculture de classe normale
TOR2;Auxiliaire de puériculture de classe supérieure
TOS1;Aide-soignant de classe normale
TOS2;Aide-soignant de classe supérieure
TOU1;Puéricultrice
TOU2;F.P.T. / Puéricultrice de classe supérieure
TOU3;Puéricultrice hors classe
TOX1;Titulaire sur emploi spécifique, catégorie C
TOX2;Titulaire sur emploi spécifique, catégorie B
TOX3;Titulaire sur emploi spécifique, catégorie A
TOX4;Titulaire sur emploi spécifique, catégorie A+
TOY1;Titulaire à temps non complet de moins de 17h30, catégorie C
TOY2;Titulaire à temps non complet de moins de 17h30, catégorie B
TOY3;Titulaire à temps non complet de moins de 17h30, catégorie A
TOY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
TPC1;Chef de service de police municipale
TPC2;Chef de service de police municipale principal de 2ème classe
TPC3;Chef de service de police municipale principal de 1ère classe
TPG1;Gardien-brigadier
TPG2;F.P.T. / Brigadier
TPG3;Brigadier-chef principal
TPG4;Chef de police municipale
TPH1;F.P.T. / Garde-champêtre principal
TPH2;Garde-champêtre chef
TPH3;Garde-champêtre chef principal
TPU1;Directeur de police municipal
TPU2;Directeur principal de police municipal
TPX1;Titulaire sur emploi spécifique, catégorie C
TPX2;Titulaire sur emploi spécifique, catégorie B
TPX3;Titulaire sur emploi spécifique, catégorie A
TPX4;Titulaire sur emploi spécifique, catégorie A+
TPY1;Titulaire à temps non complet de moins de 17h30, catégorie C
TPY2;Titulaire à temps non complet de moins de 17h30, catégorie B
TPY3;Titulaire à temps non complet de moins de 17h30, catégorie A
TPY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
TRA1;F.P.T. / Infirmier d'encadrement de sapeurs pompiers professionnels
TRB1;Directeur adjoint départemental des SDIS
TRB2;Directeur départemental des SDIS
TRC1;Capitaine
TRC2;Commandant
TRC3;Lieutenant-colonel
TRC4;F.P.T. / Colonel
TRD1;F.P.T. / Médecin et pharmacien de 2ème classe
TRD2;Médecin et pharmacien de classe normale
TRD3;Médecin et pharmacien hors classe
TRD4;Médecin et pharmacien de classe exceptionnel
TRF1;Cadre de santé des SPP
TRF2;F.P.T. / Cadre de santé de sapeur- pompiers professionnels de 1ere classe
TRF3;Cadre supérieur de santé des SPP
TRG1;Infirmiers
TRG2;F.P.T. / Infirmier de classe supérieure
TRG3;Infirmiers hors classe
TRH1;Colonel
TRH2;Colonel hors classe
TRH3;Contrôleur général
TRL1;Lieutenant de 2ème classe
TRL2;Lieutenant de 1ère classe
TRL3;Lieutenant hors classe
TRN1;F.P.T. / Infirmier
TRN2;F.P.T. / Infirmier principal
TRN3;F.P.T. / Infirmier-chef
TRS1;Sergent
TRS2;Adjudant
TRU1;F.P.T. / Sapeur de 2e classe
TRU2;Sapeur
TRU3;Caporal
TRU4;Caporal-chef
TRX1;Titulaire sur emploi spécifique, catégorie C
TRX2;Titulaire sur emploi spécifique, catégorie B
TRX3;Titulaire sur emploi spécifique, catégorie A
TRX4;Titulaire sur emploi spécifique, catégorie A+
TRY1;Titulaire à temps non complet de moins de 17h30, catégorie C
TRY2;Titulaire à temps non complet de moins de 17h30, catégorie B
TRY3;Titulaire à temps non complet de moins de 17h30, catégorie A
TRY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
TSC1;Conseiller
TSC2;Conseiller principal
TSC3;F.P.T. / Conseiller principal de 1ère classe
TSE1;Educateur
TSE2;Educateur principal de 2ème classe
TSE3;Educateur principal de 1ère classe
TSP1;F.P.T. / Aide-opérateur
TSP2;Opérateur
TSP3;Opérateur qualifié
TSP4;Opérateur principal
TSX1;Titulaire sur emploi spécifique, catégorie C
TSX2;Titulaire sur emploi spécifique, catégorie B
TSX3;Titulaire sur emploi spécifique, catégorie A
TSX4;Titulaire sur emploi spécifique, catégorie A+
TSY1;Titulaire à temps non complet de moins de 17h30, catégorie C
TSY2;Titulaire à temps non complet de moins de 17h30, catégorie B
TSY3;Titulaire à temps non complet de moins de 17h30, catégorie A
TSY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
TTA1;F.P.T. / Adjoint technique de 2ème classe
TTA2;Adjoint technique
TTA3;Adjoint technique principal de 2ème classe
TTA4;Adjoint technique principal de 1ère classe
TTG1;F.P.T. / Ingénieur
TTG2;F.P.T. / Ingénieur principal
TTG3;F.P.T. / Ingénieur en chef de classe normale
TTG4;F.P.T. / Ingénieur en chef de classe exceptionnelle
TTH1;Adjoint technique
TTH2;F.P.T. / Adjoint technique de 1ère classe
TTH3;Adjoint technique principal de 2ème classe
TTH4;Adjoint technique principal de 1ère classe
TTM1;Agent de maîtrise
TTM2;Agent de maîtrise principal
TTN1;Ingénieur en chef
TTN2;Ingénieur en chef hors classe
TTN3;Ingénieur général
TTP1;Ingénieur
TTP2;Ingénieur principal
TTP3;Ingénieur hors classe
TTT1;Technicien
TTT2;Technicien principal de 2ème classe
TTT3;Technicien principal de 1ère classe
TTU1;Directeur des services techniques
TTU2;Directeur général des services techniques
TTX1;Titulaire sur emploi spécifique, catégorie C
TTX2;Titulaire sur emploi spécifique, catégorie B
TTX3;Titulaire sur emploi spécifique, catégorie A
TTX4;Titulaire sur emploi spécifique, catégorie A+
TTY1;Titulaire à temps non complet de moins de 17h30, catégorie C
TTY2;Titulaire à temps non complet de moins de 17h30, catégorie B
TTY3;Titulaire à temps non complet de moins de 17h30, catégorie A
TTY4;Titulaire à temps non complet de moins de 17h30, catégorie A+
XAX1;Agent sur emploi à statut inconnu (administratif)
XCX1;Agent sur emploi à statut inconnu (culturel)
XEX1;Agent sur emploi à statut inconnu (médico-technique)
XHX1;Agent sur emploi à statut inconnu (hors filière)
XMX1;Agent sur emploi à statut inconnu (sportif)
XNX1;Agent sur emploi à statut inconnu (animation)
XOX1;Agent sur emploi à statut inconnu (médico-social)
XPX1;Agent sur emploi à statut inconnu (police municipale)
XRX1;Agent sur emploi à statut inconnu (incendie secours)
XSX1;Agent sur emploi à statut inconnu (sportif)
XTX1;Agent sur emploi à statut inconnu (technique)
YYX1;Apprenti
YYX2;Elu
YYX3;Agent en congé de fin d'activité, retraité du cadre local
YYX4;Agent exerçant des activités accessoires autorisées par la réglementation sur le cumul d'emploi
YYX9;Autre
